player_key,player_id,player_name,team,nfl_player_key,position,bye_week,points,league_key
423.p.33649,33649,Tim Jones,Jacksonville Jaguars,nfl.p.33649,WR,9,19.30,423.l.129200
423.p.34079,34079,Isaiah Spiller,Los Angeles Chargers,nfl.p.34079,RB,5,19.00,423.l.129200
423.p.31919,31919,Damien Harris,Buffalo Bills,nfl.p.31919,RB,13,19.00,423.l.129200
423.p.34261,34261,Tyler Goodson,Indianapolis Colts,nfl.p.34261,RB,11,18.10,423.l.129200
423.p.33455,33455,Davis Mills,Houston Texans,nfl.p.33455,QB,7,17.82,423.l.129200
423.p.34617,34617,Raheem Blackshear,Carolina Panthers,nfl.p.34617,RB,7,17.10,423.l.129200
423.p.24851,24851,Randall Cobb,New York Jets,nfl.p.24851,WR,7,16.90,423.l.129200
423.p.30285,30285,Isaiah McKenzie,New York Giants,nfl.p.30285,WR,13,16.60,423.l.129200
423.p.40545,40545,Jason Brownlee,New York Jets,nfl.p.40545,WR,7,16.60,423.l.129200
423.p.40165,40165,Israel Abanikanda,New York Jets,nfl.p.40165,RB,7,16.30,423.l.129200
423.p.30592,30592,Patrick Ricard,Baltimore Ravens,nfl.p.30592,RB,13,16.20,423.l.129200
423.p.34214,34214,Samori Toure,Green Bay Packers,nfl.p.34214,WR,6,15.80,423.l.129200
423.p.31171,31171,Boston Scott,Los Angeles Rams,nfl.p.31171,RB,10,15.80,423.l.129200
423.p.40240,40240,Deuce Vaughn,Dallas Cowboys,nfl.p.40240,RB,7,15.00,423.l.129200
423.p.32014,32014,Trayveon Williams,Cincinnati Bengals,nfl.p.32014,RB,7,14.90,423.l.129200
423.p.40707,40707,Emanuel Wilson,Green Bay Packers,nfl.p.40707,RB,6,14.80,423.l.129200
423.p.31517,31517,Keith Kirkwood,Baltimore Ravens,nfl.p.31517,WR,13,14.70,423.l.129200
423.p.32283,32283,D.J. Montgomery,Indianapolis Colts,nfl.p.32283,WR,11,14.60,423.l.129200
423.p.33171,33171,Mitchell Wilcox,New England Patriots,nfl.p.33171,TE,11,14.60,423.l.129200
423.p.40078,40078,Brenton Strange,Jacksonville Jaguars,nfl.p.40078,TE,9,14.50,423.l.129200
423.p.32764,32764,Josiah Deguara,Jacksonville Jaguars,nfl.p.32764,TE,9,14.50,423.l.129200
423.p.26701,26701,Marquise Goodwin,Cleveland Browns,nfl.p.26701,WR,5,14.00,423.l.129200
423.p.34157,34157,Keaontay Ingram,Kansas City Chiefs,nfl.p.34157,RB,10,14.00,423.l.129200
423.p.32790,32790,La'Mical Perine,Pittsburgh Steelers,nfl.p.32790,RB,6,14.00,423.l.129200
423.p.29441,29441,Jeff Driskel,Washington Commanders,nfl.p.29441,QB,14,13.94,423.l.129200
423.p.33329,33329,Lawrence Cager,New York Giants,nfl.p.33329,TE,13,13.60,423.l.129200
423.p.31228,31228,Mike Boone,Carolina Panthers,nfl.p.31228,RB,7,13.30,423.l.129200
423.p.40094,40094,Darnell Washington,Pittsburgh Steelers,nfl.p.40094,TE,6,13.10,423.l.129200
423.p.40198,40198,Eric Gray,New York Giants,nfl.p.40198,RB,13,13.00,423.l.129200
423.p.7777,7777,Marcedes Lewis,Chicago Bears,nfl.p.7777,TE,13,12.90,423.l.129200
423.p.32806,32806,Brycen Hopkins,Los Angeles Rams,nfl.p.32806,TE,10,12.80,423.l.129200
423.p.40780,40780,Hunter Luepke,Dallas Cowboys,nfl.p.40780,RB,7,12.70,423.l.129200
423.p.40257,40257,Jalen Brooks,Dallas Cowboys,nfl.p.40257,WR,7,12.40,423.l.129200
423.p.40335,40335,Ben Sims,Green Bay Packers,nfl.p.40335,TE,6,12.10,423.l.129200
423.p.28389,28389,Jameis Winston,Cleveland Browns,nfl.p.28389,QB,5,11.96,423.l.129200
423.p.28390,28390,Marcus Mariota,Washington Commanders,nfl.p.28390,QB,14,11.76,423.l.129200
423.p.32725,32725,J.K. Dobbins,Los Angeles Chargers,nfl.p.32725,RB,5,11.70,423.l.129200
423.p.33584,33584,Gary Brightwell,New York Giants,nfl.p.33584,RB,13,11.60,423.l.129200
423.p.28505,28505,Blake Bell,Kansas City Chiefs,nfl.p.28505,TE,10,11.60,423.l.129200
423.p.31207,31207,Nick Bawden,New York Jets,nfl.p.31207,RB,7,11.50,423.l.129200
423.p.34440,34440,Justyn Ross,Kansas City Chiefs,nfl.p.34440,WR,10,11.30,423.l.129200
423.p.31177,31177,Equanimeous St. Brown,New Orleans Saints,nfl.p.31177,WR,11,11.20,423.l.129200
423.p.34027,34027,Velus Jones Jr.,Chicago Bears,nfl.p.34027,WR,13,11.10,423.l.129200
423.p.26389,26389,Brandon Bolden,Las Vegas Raiders,nfl.p.26389,RB,13,11.10,423.l.129200
423.p.31431,31431,Tim Boyle,Houston Texans,nfl.p.31431,QB,7,10.90,423.l.129200
